_id,age,Aggregated_Date,BMNH,By Catch,CBRU,Comb_other_ref,Comment,Common Name ,Condition,Count,Country Code,County,Date,Day_val,Entered,Fam_Genus,GRef Source,Grid ref,in Collections,JBaker,Latitude,Length Approx,Length et,Length Imp,Length Imp_,Length_Approx,Length_Met,lett,Location,Longitude,Mass_Single,MCS,Month_val,Old County,Other,Other refs,Rect_CoNAord_,Rep_Source,S_W_No,S_W_No_,Scientific Name ,Scientific name ,sequ,Sex,Spec_No,Spec_No_,species,Updated,year,Year_val
6158,NA,19290827,ZK0058,NA,NA,NA,White-sided Dolphin,White-sided dolphin,NA,3665,2,"Shetland Islands, Scotland",27/08/1929,27,02-Nov-90,Lagenorhynchus,NA,HU385494,NA,NA,60.2271,NA,NA,NA,,,,NA,Weisdale Voe,-1.3061,M,ZK0058,8,NA,NA,NA,NA,NA,1929/25,,Lagenorhynchus acutus,,25,NA,899,,acutus,23-Dec-08,1929,1929
6159,NA,19290827,ZK0058,NA,NA,NA,White-sided Dolphin,White-sided dolphin,NA,3666,2,"Shetland Islands, Scotland",27/08/1929,27,02-Nov-90,Lagenorhynchus,NA,HU385494,NA,NA,60.2271,NA,NA,NA,,,,NA,Weisdale Voe,-1.3061,M,ZK0058,8,NA,NA,NA,NA,NA,1929/25,,Lagenorhynchus acutus,,25,NA,900,,acutus,23-Dec-08,1929,1929
6165,NA,19290827,ZK0058,NA,NA,NA,White-sided Dolphin,White-sided dolphin,NA,3672,2,"Shetland Islands, Scotland",27/08/1929,27,02-Nov-90,Lagenorhynchus,NA,HU385494,NA,NA,60.2271,NA,NA,NA,,,,NA,Weisdale Voe,-1.3061,M,ZK0058,8,NA,NA,NA,NA,NA,1929/25,,Lagenorhynchus acutus,,25,NA,906,,acutus,23-Dec-08,1929,1929
6168,NA,19290827,ZK0058,NA,NA,NA,White-sided Dolphin,White-sided dolphin,NA,3675,2,"Shetland Islands, Scotland",27/08/1929,27,02-Nov-90,Lagenorhynchus,NA,HU385494,NA,NA,60.2271,NA,NA,NA,,,,NA,Weisdale Voe,-1.3061,M,ZK0058,8,NA,NA,NA,NA,NA,1929/25,,Lagenorhynchus acutus,,25,NA,909,,acutus,23-Dec-08,1929,1929
6179,NA,19290000,ZK0120,NA,NA,NA,Cuvier's Beaked Whale,Cuvier's Beaked whale,NA,576,5,"Kerry, EIRE",NA,0,02-Nov-90,Ziphius,*NA,NA,NA,NA,51.9311,NA,NA,NA,,,,NA,"Rossbeag, 20 miles N. of Valentia Is.",-10.3415,S,ZK0120,0,S.Ireland,NA,NA,NA,NA,1929/31,,Ziphius cavirostris,,31,NA,920,,cavirostris,23-Dec-08,1929,1929
6183,NA,19291203,ZK0058,NA,NA,NA,White-sided Dolphin,White-sided dolphin,NA,16,2,"Aberdeen, Scotland",03/12/1929,3,02-Nov-90,Lagenorhynchus,NA,NK963436,NA,NA,57.4732,NA,NA,NA,,,,NA,"Buchan Ness, caught 150 miles E. of",-0.3957,S,ZK0058,12,NA,NA,NA,NA,NA,1929/35,,Lagenorhynchus acutus,,35,F,924,,acutus,23-Dec-08,1929,1929
6187,NA,19300128,ZK0079,NA,NA,NA,Long-finned Pilot Whale,Long-finned pilot whale,NA,1134,5,"Wexford, EIRE",28/01/1930,28,02-Nov-90,Globicephala,*NA,NA,NA,NA,52.4548,No,3.63,11'11'',,,,NA,"Ballyvaldon, Wexford",-6.293,S,ZK0079,1,S.Ireland,NA,NA,NA,NA,1930/3,,Globicephala melas,,3,F,928,,melaena,23-Dec-08,1930,1930
6194,NA,19300425,ZK0127,NA,NA,NA,Unidentified Odontocetes,Unknown odontocete  ,NA,1629,1,Cornwall,25/04/1930,25,02-Nov-90,odontocete,NA,SW798233,NA,NA,50.0691,Yes,1.52,5',,,,NA,"Porthallow, St Keverne",-5.0784,S,ZK0040,4,NA,NA,NA,NA,NA,1930/10,,Unknown odontocete ,,10,NA,935,,sp.indet.,23-Dec-08,1930,1930
6197,NA,19300512,ZK0074,NA,NA,NA,Risso's Dolphin,Risso's dolphin,NA,997,5,"Wexford, EIRE",12/05/1930,12,02-Nov-90,Grampus,*NA,NA,NA,NA,52.3164,No,2.74,9',,,,NA,Wexford,-6.37,S,ZK0074,5,S.Ireland,NA,NA,NA,NA,1930/13,,Grampus griseus,,13,NA,938,,griseus,23-Dec-08,1930,1930
6203,NA,19300712,ZK0053,NA,NA,NA,Bottle-nosed Dolphin,Bottlenose dolphin,NA,2692,1,Cornwall,12/07/1930,12,02-Nov-90,Tursiops,BMNH,SW81006200,NA,NA,50.41636906,No,3.05,10',,,,NA,Newquay,-5.083074147,S,ZK0053,7,NA,NA,NA,18100006200,NA,1930/19,,Tursiops truncatus,,19,NA,944,,truncatus,23-Dec-08,1930,1930
6204,NA,19300726,ZK0048,NA,NA,NA,Common dolphin,Common dolphin,NA,754,1,Cornwall,26/07/1930,26,02-Nov-90,Delphinus,NA,SW515304,NA,NA,50.122,No,2.13,7'0'',,,,NA,Marazion,-5.4777,S,ZK0048,7,NA,NA,NA,NA,NA,1930/20,,Delphinus delphis,,20,M,945,,delphis,23-Dec-08,1930,1930
6205,NA,19300729,ZK0125,NA,NA,NA,Bottle-nosed Whale,Bottlenose whale,NA,248,1,Yorkshire,29/07/1930,29,02-Nov-90,Hyperoodon,NA,TA417162,NA,NA,53.6233,No,6.1,20',,,,NA,Kilnsea,0.1424,S,ZK0125,7,NA,NA,NA,NA,NA,1930/21,,Hyperoodon ampullatus,,21,NA,946,,ampullatus,23-Dec-08,1930,1930
6210,NA,19301227,ZK0120,NA,NA,NA,"a)Skull in Edinburgh, National Museums of Scotland NMSZ 1931.027      b)1st recorded as Mesoplodon mirum from 'Geirnish, 1st week of Jan    1931' Stephen 1931 Scott.nat. 1931:37-39; Gierinish? = W.Gerinish?    c)to Z.cavirostris: McCann 1964; Moore 1968; Kitchener & Herman 1995  d)from this record, M.mirus/mirum now NOT known from Great Britain    but is known from Ireland and France",Cuvier's Beaked whale,NA,5951,2,"Western Isles, Scotland",27/12/1930,27,15-Jun-95,Ziphius,BMNH,NF75154200,NA,NA,57.35250662,No,5.33,17'6'',,,,NA,"W.Gerinish, S.Uist",-7.402535162,S,ZK0120,12,NA,NA,NA,7515084200,NA,1930/27,,Ziphius cavirostris,,27,F,951,,cavirostris,23-Dec-08,1930,1930
6218,NA,19310409,ZK0059?,NA,NA,NA,White-beaked Dolphin,White-beaked dolphin,NA,105,1,Northumberland,09/04/1931,9,02-Nov-90,Lagenorhynchus,NA,NU007534,NA,NA,55.7743,No,1.71,5'7.5'',,,,NA,Berwick on Tweed,-1.9896,S,ZK0059?,4,NA,NA,NA,NA,NA,1931/10,,Lagenorhynchus albirostris,,10,F,959,,albirostris?,23-Dec-08,1931,1931
6231,NA,19310816,ZK0127,NA,NA,NA,Unidentified Odontocetes,Unknown odontocete  ,decayed,1643,1,Northumberland,16/08/1931,16,02-Nov-90,odontocete,NA,NZ322816,NA,NA,55.1281,No,1.52,5',,,,NA,Blyth,-1.4961,S,ZK0040,8,NA,NA,NA,NA,NA,1931/23,,Unknown odontocete ,,23,NA,972,,sp.indet.,23-Dec-08,1931,1931
6237,NA,19310827,ZK0125,NA,NA,NA,Bottle-nosed Whale,Bottlenose whale,NA,249,5,"Galway, EIRE",27/08/1931,27,02-Nov-90,Hyperoodon,*NA,NA,NA,NA,53.1297,No,7.01,23',,,,NA,"Kilronan, Aran Island",-9.6585,M,ZK0125,8,S.Ireland,NA,NA,NA,NA,1931/29,,Hyperoodon ampullatus,,29,F,978,,ampullatus,23-Dec-08,1931,1931
6245,NA,19310902,ZK0048,NA,NA,NA,Common dolphin,Common dolphin,alive,3683,5,"Donegal, EIRE",02/09/1931,2,02-Nov-90,Delphinus,*NA,NA,NA,NA,54.9739,NA,NA,NA,,,,NA,"Keadue Strand, Dungloe",-8.4283,M,ZK0048,9,S.Ireland,NA,NA,NA,Mr. J.F. Hewett.,1931/32,,Delphinus delphis,,32,NA,986,,delphis,23-Dec-08,1931,1931
6249,NA,19310902,ZK0048,NA,NA,NA,Common dolphin,Common dolphin,alive,3687,5,"Donegal, EIRE",02/09/1931,2,02-Nov-90,Delphinus,*NA,NA,NA,NA,54.9739,NA,NA,NA,,,,NA,"Keadue Strand, Dungloe",-8.4283,M,ZK0048,9,S.Ireland,NA,NA,NA,Mr. J.F. Hewett.,1931/32,,Delphinus delphis,,32,NA,990,,delphis,23-Dec-08,1931,1931
